,node_1,node_2,start_of_interaction,end_of_interaction,duration,distance,angle
215,fly9,fly5,18097,18247,151,,
2402,fly5,fly9,18098,18168,71,,
2481,fly5,fly12,18099,18153,55,,
105,fly9,fly12,18102,18129,28,,
1072,fly12,fly9,18102,18178,77,,
731,fly2,fly5,18121,18144,24,,
52,fly9,fly2,18136,18171,36,,
106,fly9,fly12,18142,18180,39,,
511,fly2,fly9,18149,18187,39,,
2434,fly5,fly2,18155,18177,23,,
2790,fly8,fly4,18163,18186,24,,
1237,fly12,fly7,18198,18246,49,,
2206,fly7,fly12,18198,18250,53,,
1771,fly6,fly10,18202,18231,30,,
3029,fly10,fly6,18202,18217,16,,
512,fly2,fly9,18202,18219,18,,
1024,fly11,fly8,18227,18258,32,,
2686,fly8,fly11,18235,18265,31,,
2403,fly5,fly9,18246,18302,57,,
1338,fly1,fly2,18252,18267,16,,
2327,fly7,fly5,18259,18278,20,,
2568,fly5,fly7,18269,18308,40,,
2074,fly7,fly9,18271,18332,62,,
1217,fly12,fly4,18283,18301,19,,
1739,fly6,fly8,18296,18314,19,,
2757,fly8,fly6,18296,18321,26,,
122,fly9,fly1,18310,18341,32,,
1312,fly1,fly9,18314,18479,166,,
1902,fly4,fly12,18325,18348,24,,
1740,fly6,fly8,18330,18345,16,,
188,fly9,fly7,18331,18374,44,,
704,fly2,fly7,18343,18413,71,,
775,fly2,fly10,18440,18488,49,,
705,fly2,fly7,18447,18460,14,,
2930,fly10,fly2,18455,18491,37,,
1558,fly6,fly11,18471,18497,27,,
912,fly11,fly6,18490,18537,48,,
422,fly3,fly4,18496,18516,21,,
1313,fly1,fly9,18499,18531,33,,
1604,fly6,fly12,18549,18569,21,,
1559,fly6,fly11,18556,18570,15,,
706,fly2,fly7,18557,18592,36,,
913,fly11,fly6,18557,18571,15,,
2610,fly5,fly10,18566,18604,39,,
252,fly9,fly10,18577,18613,37,,
216,fly9,fly5,18577,18613,37,,
2404,fly5,fly9,18580,18656,77,,
866,fly11,fly12,18582,18615,34,,
2147,fly7,fly2,18590,18609,20,,
1877,fly4,fly11,18601,18631,31,,
2148,fly7,fly2,18615,18630,16,,
707,fly2,fly7,18617,18636,20,,
123,fly9,fly1,18618,19074,457,,
452,fly3,fly7,18654,18685,32,,
2112,fly7,fly3,18654,18701,48,,
1995,fly4,fly5,18681,18739,59,,
2405,fly5,fly9,18701,18727,27,,
1969,fly4,fly7,18714,18735,22,,
2535,fly5,fly4,18728,18755,28,,
2569,fly5,fly7,18734,18755,22,,
2328,fly7,fly5,18738,18755,18,,
1800,fly4,fly9,18739,18752,14,,
2406,fly5,fly9,18748,18820,73,,
1046,fly11,fly10,18751,18768,18,,
164,fly9,fly4,18753,19045,293,,
1605,fly6,fly12,18810,18839,30,,
217,fly9,fly5,18819,18850,32,,
2407,fly5,fly9,18824,18850,27,,
2958,fly10,fly11,18830,18864,35,,
1996,fly4,fly5,18832,18856,25,,
2536,fly5,fly4,18834,18902,69,,
1606,fly6,fly12,18842,18864,23,,
218,fly9,fly5,18854,18956,103,,
2976,fly10,fly12,18856,18898,43,,
1997,fly4,fly5,18862,18878,17,,
3030,fly10,fly6,18884,18929,46,,
1772,fly6,fly10,18884,18897,14,,
1607,fly6,fly12,18930,18946,17,,
2570,fly5,fly7,18957,19028,72,,
2329,fly7,fly5,18957,18973,17,,
914,fly11,fly6,18996,19045,50,,
1560,fly6,fly11,18997,19044,48,,
2959,fly10,fly11,19010,19280,271,,
1285,fly12,fly8,19012,19046,35,,
2330,fly7,fly5,19013,19046,34,,
